Station ID,Date,Latitude,Longitude,Elevation,Erie_NY.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99725499999,2020-01-01,42.88,-78.89,178.3,Erie_NY.csv,32.0,24,20.2,0.0,I
99725499999,2020-01-02,42.88,-78.89,178.3,Erie_NY.csv,38.0,24,12.1,0.0,I
99725499999,2020-01-03,42.88,-78.89,178.3,Erie_NY.csv,40.9,24,7.5,0.0,I
99725499999,2020-01-04,42.88,-78.89,178.3,Erie_NY.csv,36.2,24,7.3,0.0,I
99725499999,2020-01-05,42.88,-78.89,178.3,Erie_NY.csv,32.8,24,15.4,0.0,I
99725499999,2020-01-06,42.88,-78.89,178.3,Erie_NY.csv,34.9,24,21.3,0.0,I
99725499999,2020-01-07,42.88,-78.89,178.3,Erie_NY.csv,35.3,24,11.5,0.0,I
99725499999,2020-01-08,42.88,-78.89,178.3,Erie_NY.csv,30.5,24,17.9,0.0,I
99725499999,2020-01-09,42.88,-78.89,178.3,Erie_NY.csv,22.9,24,7.6,0.0,I
99725499999,2020-01-10,42.88,-78.89,178.3,Erie_NY.csv,39.8,24,8.2,0.0,I
99725499999,2020-01-11,42.88,-78.89,178.3,Erie_NY.csv,48.8,20,9.5,0.0,I
99725499999,2020-01-12,42.88,-78.89,178.3,Erie_NY.csv,36.2,24,16.6,0.0,I
99725499999,2020-01-13,42.88,-78.89,178.3,Erie_NY.csv,32.3,20,5.0,0.0,I
99725499999,2020-01-14,42.88,-78.89,178.3,Erie_NY.csv,37.8,24,6.0,0.0,I
99725499999,2020-01-15,42.88,-78.89,178.3,Erie_NY.csv,38.1,24,9.7,0.0,I
99725499999,2020-01-16,42.88,-78.89,178.3,Erie_NY.csv,35.3,24,6.5,0.0,I
99725499999,2020-01-17,42.88,-78.89,178.3,Erie_NY.csv,18.5,24,6.2,0.0,I
99725499999,2020-01-18,42.88,-78.89,178.3,Erie_NY.csv,23.6,24,3.2,0.0,I
99725499999,2020-01-19,42.88,-78.89,178.3,Erie_NY.csv,31.1,24,10.9,0.0,I
99725499999,2020-01-20,42.88,-78.89,178.3,Erie_NY.csv,18.3,24,3.1,0.0,I
99725499999,2020-01-21,42.88,-78.89,178.3,Erie_NY.csv,24.7,24,7.2,0.0,I
99725499999,2020-01-22,42.88,-78.89,178.3,Erie_NY.csv,28.2,24,7.5,0.0,I
99725499999,2020-01-23,42.88,-78.89,178.3,Erie_NY.csv,33.4,24,1.7,0.0,I
99725499999,2020-01-24,42.88,-78.89,178.3,Erie_NY.csv,40.6,24,1.7,0.0,I
99725499999,2020-01-25,42.88,-78.89,178.3,Erie_NY.csv,40.9,24,4.3,0.0,I
99725499999,2020-01-26,42.88,-78.89,178.3,Erie_NY.csv,35.1,24,9.0,0.0,I
