Station ID,Date,Latitude,Longitude,Elevation,Nassau_NY.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99728099999,2020-01-01,40.8,-73.77,10.0,Nassau_NY.csv,39.4,24,14.5,0.0,I
99728099999,2020-01-02,40.8,-73.77,10.0,Nassau_NY.csv,39.0,24,9.0,0.0,I
99728099999,2020-01-03,40.8,-73.77,10.0,Nassau_NY.csv,44.7,24,4.1,0.0,I
99728099999,2020-01-04,40.8,-73.77,10.0,Nassau_NY.csv,44.9,24,1.8,0.0,I
99728099999,2020-01-05,40.8,-73.77,10.0,Nassau_NY.csv,40.3,24,18.8,0.0,I
99728099999,2020-01-06,40.8,-73.77,10.0,Nassau_NY.csv,37.3,24,10.0,0.0,I
99728099999,2020-01-07,40.8,-73.77,10.0,Nassau_NY.csv,41.3,24,7.1,0.0,I
99728099999,2020-01-08,40.8,-73.77,10.0,Nassau_NY.csv,36.4,24,12.1,0.0,I
99728099999,2020-01-09,40.8,-73.77,10.0,Nassau_NY.csv,28.7,24,12.1,0.0,I
99728099999,2020-01-10,40.8,-73.77,10.0,Nassau_NY.csv,39.7,24,8.2,0.0,I
99728099999,2020-01-11,40.8,-73.77,10.0,Nassau_NY.csv,49.8,21,12.6,0.0,I
99728099999,2020-01-12,40.8,-73.77,10.0,Nassau_NY.csv,56.8,23,17.6,0.0,I
99728099999,2020-01-13,40.8,-73.77,10.0,Nassau_NY.csv,41.8,19,5.9,0.0,I
99728099999,2020-01-14,40.8,-73.77,10.0,Nassau_NY.csv,39.9,24,3.0,0.0,I
99728099999,2020-01-15,40.8,-73.77,10.0,Nassau_NY.csv,43.2,24,5.4,0.0,I
99728099999,2020-01-16,40.8,-73.77,10.0,Nassau_NY.csv,44.1,24,6.4,0.0,I
99728099999,2020-01-17,40.8,-73.77,10.0,Nassau_NY.csv,29.2,24,11.0,0.0,I
99728099999,2020-01-18,40.8,-73.77,10.0,Nassau_NY.csv,23.1,24,3.4,0.0,I
99728099999,2020-01-19,40.8,-73.77,10.0,Nassau_NY.csv,38.5,24,5.4,0.0,I
99728099999,2020-01-20,40.8,-73.77,10.0,Nassau_NY.csv,27.3,24,6.5,0.0,I
99728099999,2020-01-21,40.8,-73.77,10.0,Nassau_NY.csv,25.3,24,5.0,0.0,I
99728099999,2020-01-22,40.8,-73.77,10.0,Nassau_NY.csv,30.4,24,2.5,0.0,I
99728099999,2020-01-23,40.8,-73.77,10.0,Nassau_NY.csv,35.9,24,0.7,0.0,I
99728099999,2020-01-24,40.8,-73.77,10.0,Nassau_NY.csv,39.2,24,1.8,0.0,I
99728099999,2020-01-25,40.8,-73.77,10.0,Nassau_NY.csv,41.3,24,4.6,0.0,I
99728099999,2020-01-26,40.8,-73.77,10.0,Nassau_NY.csv,41.8,24,4.0,0.0,I
99728099999,2020-01-27,40.8,-73.77,10.0,Nassau_NY.csv,40.4,24,4.8,0.0,I
99728099999,2020-01-28,40.8,-73.77,10.0,Nassau_NY.csv,39.3,24,6.5,0.0,I
