Station ID,Date,Latitude,Longitude,Elevation,Plymouth_MA.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
72506454769,2020-01-01,41.90972,-70.72944,45.4,Plymouth_MA.csv,36.4,24,9.4,0.28,G
72506454769,2020-01-02,41.90972,-70.72944,45.4,Plymouth_MA.csv,36.2,24,8.5,0.0,G
72506454769,2020-01-03,41.90972,-70.72944,45.4,Plymouth_MA.csv,45.2,24,6.1,0.0,G
72506454769,2020-01-04,41.90972,-70.72944,45.4,Plymouth_MA.csv,43.4,24,2.4,0.02,G
72506454769,2020-01-05,41.90972,-70.72944,45.4,Plymouth_MA.csv,36.8,24,11.6,0.32,G
72506454769,2020-01-06,41.90972,-70.72944,45.4,Plymouth_MA.csv,27.4,24,1.8,0.19,G
72506454769,2020-01-07,41.90972,-70.72944,45.4,Plymouth_MA.csv,33.7,24,5.4,0.0,G
72506454769,2020-01-08,41.90972,-70.72944,45.4,Plymouth_MA.csv,33.6,24,7.3,0.16,G
72506454769,2020-01-09,41.90972,-70.72944,45.4,Plymouth_MA.csv,25.8,24,10.9,0.13,G
72506454769,2020-01-10,41.90972,-70.72944,45.4,Plymouth_MA.csv,36.2,24,7.6,0.0,G
72506454769,2020-01-11,41.90972,-70.72944,45.4,Plymouth_MA.csv,54.6,24,14.2,0.0,G
72506454769,2020-01-12,41.90972,-70.72944,45.4,Plymouth_MA.csv,61.0,24,18.5,0.06,G
72506454769,2020-01-13,41.90972,-70.72944,45.4,Plymouth_MA.csv,40.3,24,6.2,0.06,G
72506454769,2020-01-14,41.90972,-70.72944,45.4,Plymouth_MA.csv,37.9,24,2.2,0.0,G
72506454769,2020-01-15,41.90972,-70.72944,45.4,Plymouth_MA.csv,42.0,24,4.7,0.0,G
72506454769,2020-01-16,41.90972,-70.72944,45.4,Plymouth_MA.csv,35.8,24,8.2,0.04,G
72506454769,2020-01-17,41.90972,-70.72944,45.4,Plymouth_MA.csv,23.0,24,16.5,0.02,G
72506454769,2020-01-18,41.90972,-70.72944,45.4,Plymouth_MA.csv,16.1,24,5.9,0.0,G
72506454769,2020-01-19,41.90972,-70.72944,45.4,Plymouth_MA.csv,35.4,24,7.4,0.2,G
72506454769,2020-01-20,41.90972,-70.72944,45.4,Plymouth_MA.csv,24.0,24,9.7,0.01,G
72506454769,2020-01-21,41.90972,-70.72944,45.4,Plymouth_MA.csv,20.3,24,5.1,0.0,G
72506454769,2020-01-22,41.90972,-70.72944,45.4,Plymouth_MA.csv,20.1,24,1.7,0.0,G
72506454769,2020-01-23,41.90972,-70.72944,45.4,Plymouth_MA.csv,29.1,24,4.1,0.0,G
72506454769,2020-01-24,41.90972,-70.72944,45.4,Plymouth_MA.csv,33.5,24,2.5,0.0,G
