Station ID,Date,Latitude,Longitude,Elevation,Alameda_CA.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99847699999,2020-01-01,37.811,-122.333,10.0,Alameda_CA.csv,52.1,24,3.7,0.0,I
99847699999,2020-01-02,37.811,-122.333,10.0,Alameda_CA.csv,52.7,24,3.7,0.0,I
99847699999,2020-01-03,37.811,-122.333,10.0,Alameda_CA.csv,51.9,24,2.9,0.0,I
99847699999,2020-01-04,37.811,-122.333,10.0,Alameda_CA.csv,52.3,23,4.5,0.0,I
99847699999,2020-01-05,37.811,-122.333,10.0,Alameda_CA.csv,51.8,24,5.0,0.0,I
99847699999,2020-01-06,37.811,-122.333,10.0,Alameda_CA.csv,50.8,24,7.6,0.0,I
99847699999,2020-01-07,37.811,-122.333,10.0,Alameda_CA.csv,50.0,24,6.3,0.0,I
99847699999,2020-01-08,37.811,-122.333,10.0,Alameda_CA.csv,51.8,24,5.5,0.0,I
99847699999,2020-01-09,37.811,-122.333,10.0,Alameda_CA.csv,51.8,24,8.9,0.0,I
99847699999,2020-01-10,37.811,-122.333,10.0,Alameda_CA.csv,48.3,23,3.4,0.0,I
99847699999,2020-01-11,37.811,-122.333,10.0,Alameda_CA.csv,51.2,20,6.7,0.0,I
99847699999,2020-01-12,37.811,-122.333,10.0,Alameda_CA.csv,49.2,24,5.1,0.0,I
99847699999,2020-01-13,37.811,-122.333,10.0,Alameda_CA.csv,49.9,19,4.5,0.0,I
99847699999,2020-01-14,37.811,-122.333,10.0,Alameda_CA.csv,51.2,23,7.7,0.0,I
99847699999,2020-01-15,37.811,-122.333,10.0,Alameda_CA.csv,47.3,24,5.1,0.0,I
99847699999,2020-01-16,37.811,-122.333,10.0,Alameda_CA.csv,48.6,24,7.6,0.0,I
99847699999,2020-01-17,37.811,-122.333,10.0,Alameda_CA.csv,45.8,23,4.6,0.0,I
99847699999,2020-01-18,37.811,-122.333,10.0,Alameda_CA.csv,48.6,24,2.9,0.0,I
99847699999,2020-01-19,37.811,-122.333,10.0,Alameda_CA.csv,49.9,24,3.2,0.0,I
99847699999,2020-01-20,37.811,-122.333,10.0,Alameda_CA.csv,50.0,24,3.9,0.0,I
99847699999,2020-01-21,37.811,-122.333,10.0,Alameda_CA.csv,52.4,24,5.8,0.0,I
99847699999,2020-01-22,37.811,-122.333,10.0,Alameda_CA.csv,51.7,24,4.1,0.0,I
99847699999,2020-01-23,37.811,-122.333,10.0,Alameda_CA.csv,52.4,24,4.1,0.0,I
