Station ID,Date,Latitude,Longitude,Elevation,AnneArundel_MD.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99840999999,2020-01-01,38.983,-76.48,0.0,AnneArundel_MD.csv,44.8,24,0.0,0.0,I
99840999999,2020-01-02,38.983,-76.48,0.0,AnneArundel_MD.csv,38.5,24,0.0,0.0,I
99840999999,2020-01-03,38.983,-76.48,0.0,AnneArundel_MD.csv,48.0,24,0.0,0.0,I
99840999999,2020-01-04,38.983,-76.48,0.0,AnneArundel_MD.csv,48.5,24,0.0,0.0,I
99840999999,2020-01-05,38.983,-76.48,0.0,AnneArundel_MD.csv,42.5,24,0.0,0.0,I
99840999999,2020-01-06,38.983,-76.48,0.0,AnneArundel_MD.csv,42.3,24,0.0,0.0,I
99840999999,2020-01-07,38.983,-76.48,0.0,AnneArundel_MD.csv,39.0,24,0.0,0.0,I
99840999999,2020-01-08,38.983,-76.48,0.0,AnneArundel_MD.csv,37.2,24,0.0,0.0,I
99840999999,2020-01-09,38.983,-76.48,0.0,AnneArundel_MD.csv,32.6,24,0.0,0.0,I
99840999999,2020-01-10,38.983,-76.48,0.0,AnneArundel_MD.csv,41.1,24,0.0,0.0,I
99840999999,2020-01-11,38.983,-76.48,0.0,AnneArundel_MD.csv,52.0,21,0.0,0.0,I
99840999999,2020-01-12,38.983,-76.48,0.0,AnneArundel_MD.csv,59.7,23,0.0,0.0,I
99840999999,2020-01-13,38.983,-76.48,0.0,AnneArundel_MD.csv,47.3,19,0.0,0.0,I
99840999999,2020-01-14,38.983,-76.48,0.0,AnneArundel_MD.csv,43.6,24,0.0,0.0,I
99840999999,2020-01-15,38.983,-76.48,0.0,AnneArundel_MD.csv,45.3,24,0.0,0.0,I
99840999999,2020-01-16,38.983,-76.48,0.0,AnneArundel_MD.csv,48.0,24,0.0,0.0,I
99840999999,2020-01-17,38.983,-76.48,0.0,AnneArundel_MD.csv,35.0,24,0.0,0.0,I
99840999999,2020-01-18,38.983,-76.48,0.0,AnneArundel_MD.csv,31.9,24,0.0,0.0,I
99840999999,2020-01-19,38.983,-76.48,0.0,AnneArundel_MD.csv,40.5,24,0.0,0.0,I
99840999999,2020-01-20,38.983,-76.48,0.0,AnneArundel_MD.csv,29.4,23,0.0,0.0,I
99840999999,2020-01-21,38.983,-76.48,0.0,AnneArundel_MD.csv,29.5,24,0.0,0.0,I
99840999999,2020-01-22,38.983,-76.48,0.0,AnneArundel_MD.csv,30.4,24,0.0,0.0,I
99840999999,2020-01-23,38.983,-76.48,0.0,AnneArundel_MD.csv,32.2,24,0.0,0.0,I
99840999999,2020-01-24,38.983,-76.48,0.0,AnneArundel_MD.csv,38.8,24,0.0,0.0,I
