Station ID,Date,Latitude,Longitude,Elevation,Philadelphia_PA.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99769899999,2020-01-01,40.8,-74.75,18.0,Philadelphia_PA.csv,39.8,23,10.6,0.0,I
99769899999,2020-01-02,40.8,-74.75,18.0,Philadelphia_PA.csv,36.5,24,3.4,0.0,I
99769899999,2020-01-03,40.8,-74.75,18.0,Philadelphia_PA.csv,44.2,24,1.7,0.0,I
99769899999,2020-01-04,40.8,-74.75,18.0,Philadelphia_PA.csv,47.8,23,1.9,0.0,I
99769899999,2020-01-05,40.8,-74.75,18.0,Philadelphia_PA.csv,41.0,24,13.0,0.0,I
99769899999,2020-01-06,40.8,-74.75,18.0,Philadelphia_PA.csv,39.3,24,5.9,0.0,I
99769899999,2020-01-07,40.8,-74.75,18.0,Philadelphia_PA.csv,39.8,24,3.5,0.0,I
99769899999,2020-01-08,40.8,-74.75,18.0,Philadelphia_PA.csv,35.0,24,9.9,0.0,I
99769899999,2020-01-09,40.8,-74.75,18.0,Philadelphia_PA.csv,29.2,24,8.0,0.0,I
99769899999,2020-01-10,40.8,-74.75,18.0,Philadelphia_PA.csv,36.7,24,3.1,0.0,I
99769899999,2020-01-11,40.8,-74.75,18.0,Philadelphia_PA.csv,56.5,20,6.6,0.0,I
99769899999,2020-01-12,40.8,-74.75,18.0,Philadelphia_PA.csv,63.6,23,12.9,0.0,I
99769899999,2020-01-13,40.8,-74.75,18.0,Philadelphia_PA.csv,44.4,18,3.9,0.0,I
99769899999,2020-01-14,40.8,-74.75,18.0,Philadelphia_PA.csv,41.2,24,2.1,0.0,I
99769899999,2020-01-15,40.8,-74.75,18.0,Philadelphia_PA.csv,45.6,24,4.6,0.0,I
99769899999,2020-01-16,40.8,-74.75,18.0,Philadelphia_PA.csv,44.7,24,3.6,0.0,I
99769899999,2020-01-17,40.8,-74.75,18.0,Philadelphia_PA.csv,31.0,24,5.4,0.0,I
99769899999,2020-01-18,40.8,-74.75,18.0,Philadelphia_PA.csv,23.7,24,1.8,0.0,I
99769899999,2020-01-19,40.8,-74.75,18.0,Philadelphia_PA.csv,38.0,24,5.0,0.0,I
99769899999,2020-01-20,40.8,-74.75,18.0,Philadelphia_PA.csv,27.8,24,3.5,0.0,I
99769899999,2020-01-21,40.8,-74.75,18.0,Philadelphia_PA.csv,25.8,24,2.9,0.0,I
99769899999,2020-01-22,40.8,-74.75,18.0,Philadelphia_PA.csv,29.1,24,0.7,0.0,I
99769899999,2020-01-23,40.8,-74.75,18.0,Philadelphia_PA.csv,31.5,24,0.2,0.0,I
99769899999,2020-01-24,40.8,-74.75,18.0,Philadelphia_PA.csv,38.4,24,0.9,0.0,I
99769899999,2020-01-25,40.8,-74.75,18.0,Philadelphia_PA.csv,45.3,24,3.7,0.0,I
99769899999,2020-01-26,40.8,-74.75,18.0,Philadelphia_PA.csv,41.0,23,2.6,0.0,I
99769899999,2020-01-27,40.8,-74.75,18.0,Philadelphia_PA.csv,40.1,24,2.9,0.0,I
99769899999,2020-01-28,40.8,-74.75,18.0,Philadelphia_PA.csv,39.6,24,3.6,0.0,I
99769899999,2020-01-29,40.8,-74.75,18.0,Philadelphia_PA.csv,38.3,24,3.6,0.0,I
99769899999,2020-01-30,40.8,-74.75,18.0,Philadelphia_PA.csv,32.0,24,1.2,0.0,I
99769899999,2020-01-31,40.8,-74.75,18.0,Philadelphia_PA.csv,37.0,24,1.3,0.0,I
99769899999,2020-02-01,40.8,-74.75,18.0,Philadelphia_PA.csv,39.1,24,0.9,0.0,I
99769899999,2020-02-02,40.8,-74.75,18.0,Philadelphia_PA.csv,38.6,24,3.5,0.0,I
99769899999,2020-02-03,40.8,-74.75,18.0,Philadelphia_PA.csv,42.5,24,1.3,0.0,I
99769899999,2020-02-04,40.8,-74.75,18.0,Philadelphia_PA.csv,46.4,23,1.7,0.0,I
99769899999,2020-02-05,40.8,-74.75,18.0,Philadelphia_PA.csv,45.5,24,1.2,0.0,I
99769899999,2020-02-06,40.8,-74.75,18.0,Philadelphia_PA.csv,40.5,24,2.1,0.0,I
99769899999,2020-02-07,40.8,-74.75,18.0,Philadelphia_PA.csv,45.1,23,4.3,0.0,I
99769899999,2020-02-08,40.8,-74.75,18.0,Philadelphia_PA.csv,36.5,24,4.6,0.0,I
99769899999,2020-02-09,40.8,-74.75,18.0,Philadelphia_PA.csv,36.8,24,1.2,0.0,I
99769899999,2020-02-10,40.8,-74.75,18.0,Philadelphia_PA.csv,42.9,24,4.7,0.0,I
99769899999,2020-02-11,40.8,-74.75,18.0,Philadelphia_PA.csv,45.8,24,1.4,0.0,I
99769899999,2020-02-12,40.8,-74.75,18.0,Philadelphia_PA.csv,43.5,24,3.3,0.0,I
99769899999,2020-02-13,40.8,-74.75,18.0,Philadelphia_PA.csv,40.1,23,1.6,0.0,I
99769899999,2020-02-14,40.8,-74.75,18.0,Philadelphia_PA.csv,35.9,24,3.1,0.0,I
99769899999,2020-02-15,40.8,-74.75,18.0,Philadelphia_PA.csv,21.8,23,1.7,0.0,I
99769899999,2020-02-16,40.8,-74.75,18.0,Philadelphia_PA.csv,33.3,24,2.5,0.0,I
99769899999,2020-02-17,40.8,-74.75,18.0,Philadelphia_PA.csv,41.4,23,1.2,0.0,I
99769899999,2020-02-18,40.8,-74.75,18.0,Philadelphia_PA.csv,45.1,23,2.5,0.0,I
99769899999,2020-02-19,40.8,-74.75,18.0,Philadelphia_PA.csv,46.9,22,3.7,0.0,I
99769899999,2020-02-20,40.8,-74.75,18.0,Philadelphia_PA.csv,34.5,24,1.9,0.0,I
99769899999,2020-02-21,40.8,-74.75,18.0,Philadelphia_PA.csv,28.4,24,4.8,0.0,I
99769899999,2020-02-22,40.8,-74.75,18.0,Philadelphia_PA.csv,35.9,23,6.3,0.0,I
99769899999,2020-02-23,40.8,-74.75,18.0,Philadelphia_PA.csv,40.2,23,4.4,0.0,I
99769899999,2020-02-24,40.8,-74.75,18.0,Philadelphia_PA.csv,45.0,23,2.1,0.0,I
99769899999,2020-02-25,40.8,-74.75,18.0,Philadelphia_PA.csv,48.1,23,3.5,0.0,I
99769899999,2020-02-26,40.8,-74.75,18.0,Philadelphia_PA.csv,46.9,24,3.3,0.0,I
99769899999,2020-02-27,40.8,-74.75,18.0,Philadelphia_PA.csv,41.9,24,14.8,0.0,I
99769899999,2020-02-28,40.8,-74.75,18.0,Philadelphia_PA.csv,34.9,24,13.0,0.0,I
99769899999,2020-02-29,40.8,-74.75,18.0,Philadelphia_PA.csv,32.8,24,10.2,0.0,I
99769899999,2020-03-01,40.8,-74.75,18.0,Philadelphia_PA.csv,33.4,24,8.0,0.0,I
99769899999,2020-03-02,40.8,-74.75,18.0,Philadelphia_PA.csv,44.3,24,5.6,0.0,I
99769899999,2020-03-03,40.8,-74.75,18.0,Philadelphia_PA.csv,52.2,24,6.2,0.0,I
99769899999,2020-03-04,40.8,-74.75,18.0,Philadelphia_PA.csv,49.6,24,10.5,0.0,I
