Station ID,Date,Latitude,Longitude,Elevation,NewYork_NY.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99727199999,2020-01-01,40.701,-74.014,10.0,NewYork_NY.csv,38.8,24,0.0,0.0,I
99727199999,2020-01-02,40.701,-74.014,10.0,NewYork_NY.csv,37.3,24,0.0,0.0,I
99727199999,2020-01-03,40.701,-74.014,10.0,NewYork_NY.csv,44.9,24,0.0,0.0,I
99727199999,2020-01-04,40.701,-74.014,10.0,NewYork_NY.csv,46.5,24,0.0,0.0,I
99727199999,2020-01-05,40.701,-74.014,10.0,NewYork_NY.csv,40.6,24,0.0,0.0,I
99727199999,2020-01-06,40.701,-74.014,10.0,NewYork_NY.csv,36.7,24,0.0,0.0,I
99727199999,2020-01-07,40.701,-74.014,10.0,NewYork_NY.csv,40.1,24,0.0,0.0,I
99727199999,2020-01-08,40.701,-74.014,10.0,NewYork_NY.csv,36.5,24,0.0,0.0,I
99727199999,2020-01-09,40.701,-74.014,10.0,NewYork_NY.csv,28.5,24,0.0,0.0,I
99727199999,2020-01-10,40.701,-74.014,10.0,NewYork_NY.csv,38.9,24,0.0,0.0,I
99727199999,2020-01-11,40.701,-74.014,10.0,NewYork_NY.csv,55.5,21,0.0,0.0,I
99727199999,2020-01-12,40.701,-74.014,10.0,NewYork_NY.csv,60.6,23,0.0,0.0,I
99727199999,2020-01-13,40.701,-74.014,10.0,NewYork_NY.csv,44.7,19,0.0,0.0,I
99727199999,2020-01-14,40.701,-74.014,10.0,NewYork_NY.csv,42.9,24,0.0,0.0,I
99727199999,2020-01-15,40.701,-74.014,10.0,NewYork_NY.csv,44.8,24,0.0,0.0,I
99727199999,2020-01-16,40.701,-74.014,10.0,NewYork_NY.csv,44.7,24,0.0,0.0,I
99727199999,2020-01-17,40.701,-74.014,10.0,NewYork_NY.csv,29.1,24,0.0,0.0,I
99727199999,2020-01-18,40.701,-74.014,10.0,NewYork_NY.csv,23.8,24,0.0,0.0,I
99727199999,2020-01-19,40.701,-74.014,10.0,NewYork_NY.csv,38.5,24,0.0,0.0,I
99727199999,2020-01-20,40.701,-74.014,10.0,NewYork_NY.csv,27.3,24,0.0,0.0,I
99727199999,2020-01-21,40.701,-74.014,10.0,NewYork_NY.csv,25.8,24,0.0,0.0,I
99727199999,2020-01-22,40.701,-74.014,10.0,NewYork_NY.csv,30.3,24,0.0,0.0,I
99727199999,2020-01-23,40.701,-74.014,10.0,NewYork_NY.csv,36.2,24,0.0,0.0,I
99727199999,2020-01-24,40.701,-74.014,10.0,NewYork_NY.csv,42.4,24,0.0,0.0,I
99727199999,2020-01-25,40.701,-74.014,10.0,NewYork_NY.csv,43.6,24,0.0,0.0,I
99727199999,2020-01-26,40.701,-74.014,10.0,NewYork_NY.csv,41.5,24,0.0,0.0,I
99727199999,2020-01-27,40.701,-74.014,10.0,NewYork_NY.csv,39.9,24,0.0,0.0,I
99727199999,2020-01-28,40.701,-74.014,10.0,NewYork_NY.csv,39.8,24,0.0,0.0,I
99727199999,2020-01-29,40.701,-74.014,10.0,NewYork_NY.csv,36.5,24,0.0,0.0,I
99727199999,2020-01-30,40.701,-74.014,10.0,NewYork_NY.csv,31.9,24,0.0,0.0,I
99727199999,2020-01-31,40.701,-74.014,10.0,NewYork_NY.csv,37.5,24,0.0,0.0,I
99727199999,2020-02-01,40.701,-74.014,10.0,NewYork_NY.csv,39.4,24,0.0,0.0,I
99727199999,2020-02-02,40.701,-74.014,10.0,NewYork_NY.csv,38.9,24,0.0,0.0,I
99727199999,2020-02-03,40.701,-74.014,10.0,NewYork_NY.csv,41.8,24,0.0,0.0,I
99727199999,2020-02-04,40.701,-74.014,10.0,NewYork_NY.csv,48.1,23,0.0,0.0,I
99727199999,2020-02-05,40.701,-74.014,10.0,NewYork_NY.csv,44.7,24,0.0,0.0,I
99727199999,2020-02-06,40.701,-74.014,10.0,NewYork_NY.csv,40.0,24,0.0,0.0,I
99727199999,2020-02-07,40.701,-74.014,10.0,NewYork_NY.csv,42.3,24,0.0,0.0,I
99727199999,2020-02-08,40.701,-74.014,10.0,NewYork_NY.csv,34.8,24,0.0,0.0,I
