Station ID,Date,Latitude,Longitude,Elevation,Minnehana_SD.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99999904990,2020-01-01,43.7346,-96.6222,485.9,Minnehana_SD.csv,19.3,24,999.9,0.0,G
99999904990,2020-01-02,43.7346,-96.6222,485.9,Minnehana_SD.csv,31.4,24,999.9,0.0,G
99999904990,2020-01-03,43.7346,-96.6222,485.9,Minnehana_SD.csv,29.3,24,999.9,0.0,G
99999904990,2020-01-04,43.7346,-96.6222,485.9,Minnehana_SD.csv,19.1,24,999.9,0.03,G
99999904990,2020-01-05,43.7346,-96.6222,485.9,Minnehana_SD.csv,33.5,24,999.9,0.0,G
99999904990,2020-01-06,43.7346,-96.6222,485.9,Minnehana_SD.csv,27.3,24,999.9,0.0,G
99999904990,2020-01-07,43.7346,-96.6222,485.9,Minnehana_SD.csv,25.7,24,999.9,0.0,G
99999904990,2020-01-08,43.7346,-96.6222,485.9,Minnehana_SD.csv,11.1,24,999.9,0.0,G
99999904990,2020-01-09,43.7346,-96.6222,485.9,Minnehana_SD.csv,23.4,24,999.9,0.0,G
99999904990,2020-01-10,43.7346,-96.6222,485.9,Minnehana_SD.csv,15.8,24,999.9,0.0,G
99999904990,2020-01-11,43.7346,-96.6222,485.9,Minnehana_SD.csv,-2.0,24,999.9,0.02,G
99999904990,2020-01-12,43.7346,-96.6222,485.9,Minnehana_SD.csv,7.5,24,999.9,0.0,G
99999904990,2020-01-13,43.7346,-96.6222,485.9,Minnehana_SD.csv,19.2,24,999.9,0.18,G
99999904990,2020-01-14,43.7346,-96.6222,485.9,Minnehana_SD.csv,20.2,24,999.9,0.0,G
99999904990,2020-01-15,43.7346,-96.6222,485.9,Minnehana_SD.csv,10.9,24,999.9,0.0,G
99999904990,2020-01-16,43.7346,-96.6222,485.9,Minnehana_SD.csv,-7.4,24,999.9,0.0,G
99999904990,2020-01-17,43.7346,-96.6222,485.9,Minnehana_SD.csv,10.4,24,999.9,0.0,G
