Station ID,Date,Latitude,Longitude,Elevation,SaltLake_UT.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
72572024127,2020-01-01,40.7781,-111.9694,1287.8,SaltLake_UT.csv,32.2,24,7.2,0.0,G
72572024127,2020-01-02,40.7781,-111.9694,1287.8,SaltLake_UT.csv,36.2,24,3.9,0.18,G
72572024127,2020-01-03,40.7781,-111.9694,1287.8,SaltLake_UT.csv,37.8,24,5.7,0.01,G
72572024127,2020-01-04,40.7781,-111.9694,1287.8,SaltLake_UT.csv,38.2,24,8.6,0.0,G
72572024127,2020-01-05,40.7781,-111.9694,1287.8,SaltLake_UT.csv,31.8,24,3.5,0.0,G
72572024127,2020-01-06,40.7781,-111.9694,1287.8,SaltLake_UT.csv,35.0,24,3.6,0.0,G
72572024127,2020-01-07,40.7781,-111.9694,1287.8,SaltLake_UT.csv,39.1,24,8.8,0.0,G
72572024127,2020-01-08,40.7781,-111.9694,1287.8,SaltLake_UT.csv,37.5,24,5.2,0.0,G
72572024127,2020-01-09,40.7781,-111.9694,1287.8,SaltLake_UT.csv,35.2,24,5.2,0.08,G
72572024127,2020-01-10,40.7781,-111.9694,1287.8,SaltLake_UT.csv,30.2,24,4.9,0.09,G
72572024127,2020-01-11,40.7781,-111.9694,1287.8,SaltLake_UT.csv,30.9,24,7.3,0.01,G
72572024127,2020-01-12,40.7781,-111.9694,1287.8,SaltLake_UT.csv,31.6,24,4.0,0.08,G
72572024127,2020-01-13,40.7781,-111.9694,1287.8,SaltLake_UT.csv,31.9,24,6.5,0.08,G
72572024127,2020-01-14,40.7781,-111.9694,1287.8,SaltLake_UT.csv,36.4,24,11.1,0.06,G
72572024127,2020-01-15,40.7781,-111.9694,1287.8,SaltLake_UT.csv,27.8,24,6.2,0.09,G
72572024127,2020-01-16,40.7781,-111.9694,1287.8,SaltLake_UT.csv,35.3,24,8.3,0.0,G
72572024127,2020-01-17,40.7781,-111.9694,1287.8,SaltLake_UT.csv,41.0,24,14.0,0.0,G
72572024127,2020-01-18,40.7781,-111.9694,1287.8,SaltLake_UT.csv,31.1,24,5.4,0.18,G
72572024127,2020-01-19,40.7781,-111.9694,1287.8,SaltLake_UT.csv,29.8,24,3.1,0.0,G
72572024127,2020-01-20,40.7781,-111.9694,1287.8,SaltLake_UT.csv,30.3,24,2.9,0.0,G
72572024127,2020-01-21,40.7781,-111.9694,1287.8,SaltLake_UT.csv,33.6,24,3.2,0.0,G
72572024127,2020-01-22,40.7781,-111.9694,1287.8,SaltLake_UT.csv,38.4,24,4.4,0.01,G
72572024127,2020-01-23,40.7781,-111.9694,1287.8,SaltLake_UT.csv,41.1,24,2.8,0.04,G
72572024127,2020-01-24,40.7781,-111.9694,1287.8,SaltLake_UT.csv,38.3,24,5.7,0.01,G
