Station ID,Date,Latitude,Longitude,Elevation,King_WA.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
72793524234,2020-01-01,47.53028,-122.30083,6.1,King_WA.csv,52.1,24,8.3,0.08,G
72793524234,2020-01-02,47.53028,-122.30083,6.1,King_WA.csv,45.0,24,6.3,0.0,G
72793524234,2020-01-03,47.53028,-122.30083,6.1,King_WA.csv,49.0,24,6.5,0.0,G
72793524234,2020-01-04,47.53028,-122.30083,6.1,King_WA.csv,47.1,24,10.7,0.06,G
72793524234,2020-01-05,47.53028,-122.30083,6.1,King_WA.csv,43.9,24,8.3,0.04,G
72793524234,2020-01-06,47.53028,-122.30083,6.1,King_WA.csv,46.0,24,10.7,0.09,G
72793524234,2020-01-07,47.53028,-122.30083,6.1,King_WA.csv,51.7,24,12.3,0.09,G
72793524234,2020-01-08,47.53028,-122.30083,6.1,King_WA.csv,45.6,24,8.7,0.01,G
72793524234,2020-01-09,47.53028,-122.30083,6.1,King_WA.csv,36.3,24,3.2,0.0,G
72793524234,2020-01-10,47.53028,-122.30083,6.1,King_WA.csv,38.3,24,6.5,0.01,G
72793524234,2020-01-11,47.53028,-122.30083,6.1,King_WA.csv,45.2,24,9.6,0.14,G
72793524234,2020-01-12,47.53028,-122.30083,6.1,King_WA.csv,42.8,24,10.5,0.0,G
72793524234,2020-01-13,47.53028,-122.30083,6.1,King_WA.csv,35.7,24,5.3,0.06,G
72793524234,2020-01-14,47.53028,-122.30083,6.1,King_WA.csv,30.8,24,3.0,0.03,G
72793524234,2020-01-15,47.53028,-122.30083,6.1,King_WA.csv,36.1,24,10.4,0.0,G
72793524234,2020-01-16,47.53028,-122.30083,6.1,King_WA.csv,40.3,24,8.5,0.0,G
72793524234,2020-01-17,47.53028,-122.30083,6.1,King_WA.csv,36.9,24,5.0,0.0,G
72793524234,2020-01-18,47.53028,-122.30083,6.1,King_WA.csv,42.2,24,5.7,0.09,G
72793524234,2020-01-19,47.53028,-122.30083,6.1,King_WA.csv,46.6,24,2.6,0.12,G
72793524234,2020-01-20,47.53028,-122.30083,6.1,King_WA.csv,47.8,24,1.5,0.01,G
72793524234,2020-01-21,47.53028,-122.30083,6.1,King_WA.csv,46.9,24,5.5,0.01,G
72793524234,2020-01-22,47.53028,-122.30083,6.1,King_WA.csv,45.8,24,8.8,0.64,G
72793524234,2020-01-23,47.53028,-122.30083,6.1,King_WA.csv,50.6,24,6.4,0.0,G
72793524234,2020-01-24,47.53028,-122.30083,6.1,King_WA.csv,50.6,24,8.3,0.54,G
72793524234,2020-01-25,47.53028,-122.30083,6.1,King_WA.csv,47.8,24,3.1,0.33,G
72793524234,2020-01-26,47.53028,-122.30083,6.1,King_WA.csv,48.8,24,6.0,0.13,G
72793524234,2020-01-27,47.53028,-122.30083,6.1,King_WA.csv,47.6,24,7.0,0.03,G
72793524234,2020-01-28,47.53028,-122.30083,6.1,King_WA.csv,47.4,24,5.7,0.45,G
72793524234,2020-01-29,47.53028,-122.30083,6.1,King_WA.csv,47.8,24,6.1,0.22,G
72793524234,2020-01-30,47.53028,-122.30083,6.1,King_WA.csv,46.1,24,2.2,0.02,G
72793524234,2020-01-31,47.53028,-122.30083,6.1,King_WA.csv,51.6,24,11.0,0.02,G
72793524234,2020-02-01,47.53028,-122.30083,6.1,King_WA.csv,53.2,24,10.9,0.72,G
72793524234,2020-02-02,47.53028,-122.30083,6.1,King_WA.csv,38.9,24,5.8,0.27,G
72793524234,2020-02-03,47.53028,-122.30083,6.1,King_WA.csv,38.3,24,4.0,0.0,G
72793524234,2020-02-04,47.53028,-122.30083,6.1,King_WA.csv,36.1,24,5.9,0.0,G
72793524234,2020-02-05,47.53028,-122.30083,6.1,King_WA.csv,43.5,24,6.9,0.03,G
72793524234,2020-02-06,47.53028,-122.30083,6.1,King_WA.csv,48.8,24,3.3,0.18,G
72793524234,2020-02-07,47.53028,-122.30083,6.1,King_WA.csv,46.4,24,4.7,0.43,G
72793524234,2020-02-08,47.53028,-122.30083,6.1,King_WA.csv,46.1,24,9.0,0.16,G
72793524234,2020-02-09,47.53028,-122.30083,6.1,King_WA.csv,42.0,24,1.9,0.0,G
72793524234,2020-02-10,47.53028,-122.30083,6.1,King_WA.csv,41.5,24,1.4,0.0,G
72793524234,2020-02-11,47.53028,-122.30083,6.1,King_WA.csv,40.3,24,5.0,0.0,G
72793524234,2020-02-12,47.53028,-122.30083,6.1,King_WA.csv,45.9,24,2.5,0.05,G
72793524234,2020-02-13,47.53028,-122.30083,6.1,King_WA.csv,43.4,24,5.6,0.04,G
72793524234,2020-02-14,47.53028,-122.30083,6.1,King_WA.csv,44.6,24,6.1,0.03,G
72793524234,2020-02-15,47.53028,-122.30083,6.1,King_WA.csv,44.3,24,8.7,0.01,G
72793524234,2020-02-16,47.53028,-122.30083,6.1,King_WA.csv,43.3,24,7.2,0.1,G
72793524234,2020-02-17,47.53028,-122.30083,6.1,King_WA.csv,41.5,24,4.1,0.06,G
72793524234,2020-02-18,47.53028,-122.30083,6.1,King_WA.csv,40.2,24,2.4,0.0,G
72793524234,2020-02-19,47.53028,-122.30083,6.1,King_WA.csv,41.1,24,2.5,0.0,G
72793524234,2020-02-20,47.53028,-122.30083,6.1,King_WA.csv,44.4,24,3.1,0.0,G
72793524234,2020-02-21,47.53028,-122.30083,6.1,King_WA.csv,43.3,24,2.3,0.0,G
72793524234,2020-02-22,47.53028,-122.30083,6.1,King_WA.csv,45.4,24,4.3,0.0,G
72793524234,2020-02-23,47.53028,-122.30083,6.1,King_WA.csv,45.0,24,6.8,0.0,G
72793524234,2020-02-24,47.53028,-122.30083,6.1,King_WA.csv,44.1,24,7.4,0.13,G
72793524234,2020-02-25,47.53028,-122.30083,6.1,King_WA.csv,43.1,24,1.7,0.0,G
72793524234,2020-02-26,47.53028,-122.30083,6.1,King_WA.csv,48.0,24,1.8,0.0,G
72793524234,2020-02-27,47.53028,-122.30083,6.1,King_WA.csv,47.1,24,3.9,0.0,G
