Station ID,Date,Latitude,Longitude,Elevation,Riverside_CA.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
72286903171,2020-01-01,33.95194,-117.43861,245.2,Riverside_CA.csv,53.4,24,4.0,0.0,G
72286903171,2020-01-02,33.95194,-117.43861,245.2,Riverside_CA.csv,54.2,24,3.3,0.0,G
72286903171,2020-01-03,33.95194,-117.43861,245.2,Riverside_CA.csv,56.6,24,3.8,0.0,G
72286903171,2020-01-04,33.95194,-117.43861,245.2,Riverside_CA.csv,54.6,24,3.4,0.0,G
72286903171,2020-01-05,33.95194,-117.43861,245.2,Riverside_CA.csv,54.4,24,3.1,0.0,G
72286903171,2020-01-06,33.95194,-117.43861,245.2,Riverside_CA.csv,63.5,24,7.5,0.0,G
72286903171,2020-01-07,33.95194,-117.43861,245.2,Riverside_CA.csv,62.9,24,4.9,0.0,G
72286903171,2020-01-08,33.95194,-117.43861,245.2,Riverside_CA.csv,52.5,24,3.4,0.0,G
72286903171,2020-01-09,33.95194,-117.43861,245.2,Riverside_CA.csv,51.9,24,1.7,0.0,G
72286903171,2020-01-10,33.95194,-117.43861,245.2,Riverside_CA.csv,50.0,24,2.6,0.0,G
72286903171,2020-01-11,33.95194,-117.43861,245.2,Riverside_CA.csv,49.8,24,2.5,0.0,G
72286903171,2020-01-12,33.95194,-117.43861,245.2,Riverside_CA.csv,49.6,24,2.4,0.0,G
72286903171,2020-01-13,33.95194,-117.43861,245.2,Riverside_CA.csv,51.6,24,1.1,0.0,G
72286903171,2020-01-14,33.95194,-117.43861,245.2,Riverside_CA.csv,49.6,24,2.7,0.0,G
72286903171,2020-01-15,33.95194,-117.43861,245.2,Riverside_CA.csv,50.9,24,2.3,0.0,G
72286903171,2020-01-16,33.95194,-117.43861,245.2,Riverside_CA.csv,49.4,24,3.1,0.0,G
72286903171,2020-01-17,33.95194,-117.43861,245.2,Riverside_CA.csv,51.7,24,2.3,0.06,G
72286903171,2020-01-18,33.95194,-117.43861,245.2,Riverside_CA.csv,54.3,24,5.3,0.02,G
72286903171,2020-01-19,33.95194,-117.43861,245.2,Riverside_CA.csv,63.0,24,7.6,0.0,G
72286903171,2020-01-20,33.95194,-117.43861,245.2,Riverside_CA.csv,58.5,24,3.7,0.0,G
72286903171,2020-01-21,33.95194,-117.43861,245.2,Riverside_CA.csv,54.9,24,2.3,0.0,G
72286903171,2020-01-22,33.95194,-117.43861,245.2,Riverside_CA.csv,54.0,24,1.8,0.0,G
72286903171,2020-01-23,33.95194,-117.43861,245.2,Riverside_CA.csv,58.0,24,3.3,0.0,G
72286903171,2020-01-24,33.95194,-117.43861,245.2,Riverside_CA.csv,59.5,24,4.0,0.0,G
72286903171,2020-01-25,33.95194,-117.43861,245.2,Riverside_CA.csv,58.5,24,3.5,0.0,G
72286903171,2020-01-26,33.95194,-117.43861,245.2,Riverside_CA.csv,53.4,24,2.2,0.0,G
72286903171,2020-01-27,33.95194,-117.43861,245.2,Riverside_CA.csv,54.3,24,2.1,0.0,G
72286903171,2020-01-28,33.95194,-117.43861,245.2,Riverside_CA.csv,59.0,24,3.3,0.0,G
72286903171,2020-01-29,33.95194,-117.43861,245.2,Riverside_CA.csv,57.5,24,8.4,0.0,G
