Station ID,Date,Latitude,Longitude,Elevation,NewOrleans_LA.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
72231612958,2020-01-01,29.81667,-90.01667,1.5,NewOrleans_LA.csv,52.4,24,3.4,0.0,I
72231612958,2020-01-02,29.81667,-90.01667,1.5,NewOrleans_LA.csv,67.9,24,12.1,0.06,G
72231612958,2020-01-03,29.81667,-90.01667,1.5,NewOrleans_LA.csv,64.4,24,7.2,0.3,G
72231612958,2020-01-04,29.81667,-90.01667,1.5,NewOrleans_LA.csv,59.2,24,6.8,1.03,G
72231612958,2020-01-05,29.81667,-90.01667,1.5,NewOrleans_LA.csv,49.1,24,3.0,0.0,G
72231612958,2020-01-06,29.81667,-90.01667,1.5,NewOrleans_LA.csv,53.7,24,3.8,0.0,I
72231612958,2020-01-07,29.81667,-90.01667,1.5,NewOrleans_LA.csv,58.4,24,7.7,0.0,A
72231612958,2020-01-08,29.81667,-90.01667,1.5,NewOrleans_LA.csv,47.4,24,4.1,0.0,I
72231612958,2020-01-09,29.81667,-90.01667,1.5,NewOrleans_LA.csv,59.0,24,7.2,0.0,I
72231612958,2020-01-10,29.81667,-90.01667,1.5,NewOrleans_LA.csv,68.4,24,9.6,99.99, 
72231612958,2020-01-11,29.81667,-90.01667,1.5,NewOrleans_LA.csv,69.5,23,14.5,0.94,B
72231612958,2020-01-12,29.81667,-90.01667,1.5,NewOrleans_LA.csv,55.5,21,5.5,0.01,A
72231612958,2020-01-13,29.81667,-90.01667,1.5,NewOrleans_LA.csv,64.7,20,3.1,0.01,B
72231612958,2020-01-14,29.81667,-90.01667,1.5,NewOrleans_LA.csv,71.1,23,4.9,0.0,I
72231612958,2020-01-15,29.81667,-90.01667,1.5,NewOrleans_LA.csv,71.3,22,4.9,0.02,G
72231612958,2020-01-16,29.81667,-90.01667,1.5,NewOrleans_LA.csv,69.7,21,3.0,0.0,G
72231612958,2020-01-17,29.81667,-90.01667,1.5,NewOrleans_LA.csv,65.5,21,10.9,0.0,A
