Station ID,Date,Latitude,Longitude,Elevation,SanDiego_CA.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99401899999,2020-01-01,32.867,-117.258,2.0,SanDiego_CA.csv,58.6,22,4.6,0.0,I
99401899999,2020-01-02,32.867,-117.258,2.0,SanDiego_CA.csv,56.5,23,6.9,0.0,I
99401899999,2020-01-03,32.867,-117.258,2.0,SanDiego_CA.csv,60.0,21,2.8,0.0,I
99401899999,2020-01-04,32.867,-117.258,2.0,SanDiego_CA.csv,57.6,24,1.5,0.0,I
99401899999,2020-01-05,32.867,-117.258,2.0,SanDiego_CA.csv,57.2,24,3.6,0.0,I
99401899999,2020-01-06,32.867,-117.258,2.0,SanDiego_CA.csv,59.9,24,2.4,0.0,I
99401899999,2020-01-07,32.867,-117.258,2.0,SanDiego_CA.csv,63.7,23,2.2,0.0,I
99401899999,2020-01-08,32.867,-117.258,2.0,SanDiego_CA.csv,56.2,24,5.6,0.0,I
99401899999,2020-01-09,32.867,-117.258,2.0,SanDiego_CA.csv,56.1,24,8.7,0.0,I
99401899999,2020-01-10,32.867,-117.258,2.0,SanDiego_CA.csv,54.6,23,5.4,0.0,I
99401899999,2020-01-11,32.867,-117.258,2.0,SanDiego_CA.csv,56.3,21,4.4,0.0,I
99401899999,2020-01-12,32.867,-117.258,2.0,SanDiego_CA.csv,55.4,22,6.0,0.0,I
99401899999,2020-01-13,32.867,-117.258,2.0,SanDiego_CA.csv,54.1,20,7.4,0.0,I
99401899999,2020-01-14,32.867,-117.258,2.0,SanDiego_CA.csv,55.8,21,4.3,0.0,I
99401899999,2020-01-15,32.867,-117.258,2.0,SanDiego_CA.csv,54.8,24,3.4,0.0,I
99401899999,2020-01-16,32.867,-117.258,2.0,SanDiego_CA.csv,54.9,24,2.2,0.0,I
99401899999,2020-01-17,32.867,-117.258,2.0,SanDiego_CA.csv,55.8,22,2.4,0.0,I
99401899999,2020-01-18,32.867,-117.258,2.0,SanDiego_CA.csv,55.9,24,2.4,0.0,I
99401899999,2020-01-19,32.867,-117.258,2.0,SanDiego_CA.csv,58.6,24,0.9,0.0,I
99401899999,2020-01-20,32.867,-117.258,2.0,SanDiego_CA.csv,58.8,23,1.9,0.0,I
99401899999,2020-01-21,32.867,-117.258,2.0,SanDiego_CA.csv,56.9,22,2.6,0.0,I
99401899999,2020-01-22,32.867,-117.258,2.0,SanDiego_CA.csv,58.1,23,1.2,0.0,I
99401899999,2020-01-23,32.867,-117.258,2.0,SanDiego_CA.csv,57.2,24,3.0,0.0,I
99401899999,2020-01-24,32.867,-117.258,2.0,SanDiego_CA.csv,57.1,23,1.8,0.0,I
99401899999,2020-01-25,32.867,-117.258,2.0,SanDiego_CA.csv,55.0,23,1.6,0.0,I
