Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-13,Travis,Texas,4,0,99999923907,2020-03-06,30.6222,-98.0846,414.8,Travis_TX.csv,58.4,24,999.9,0.0,G
2020-03-14,Travis,Texas,4,0,99999923907,2020-03-07,30.6222,-98.0846,414.8,Travis_TX.csv,54.2,24,999.9,0.0,G
2020-03-15,Travis,Texas,6,0,99999923907,2020-03-08,30.6222,-98.0846,414.8,Travis_TX.csv,54.7,24,999.9,0.0,G
2020-03-16,Travis,Texas,6,0,99999923907,2020-03-09,30.6222,-98.0846,414.8,Travis_TX.csv,62.8,24,999.9,0.0,G
2020-03-17,Travis,Texas,6,0,99999923907,2020-03-10,30.6222,-98.0846,414.8,Travis_TX.csv,64.5,24,999.9,0.07,G
2020-03-18,Travis,Texas,6,0,99999923907,2020-03-11,30.6222,-98.0846,414.8,Travis_TX.csv,70.8,24,999.9,0.0,G
2020-03-19,Travis,Texas,7,0,99999923907,2020-03-12,30.6222,-98.0846,414.8,Travis_TX.csv,72.0,24,999.9,0.0,G
2020-03-20,Travis,Texas,21,0,99999923907,2020-03-13,30.6222,-98.0846,414.8,Travis_TX.csv,70.4,24,999.9,0.0,G
2020-03-21,Travis,Texas,62,0,99999923907,2020-03-14,30.6222,-98.0846,414.8,Travis_TX.csv,71.7,24,999.9,0.0,G
2020-03-22,Travis,Texas,79,0,99999923907,2020-03-15,30.6222,-98.0846,414.8,Travis_TX.csv,59.7,24,999.9,0.0,G
2020-03-23,Travis,Texas,79,0,99999923907,2020-03-16,30.6222,-98.0846,414.8,Travis_TX.csv,60.4,24,999.9,0.02,G
2020-03-24,Travis,Texas,79,0,99999923907,2020-03-17,30.6222,-98.0846,414.8,Travis_TX.csv,68.5,24,999.9,0.01,G
2020-03-25,Travis,Texas,119,0,99999923907,2020-03-18,30.6222,-98.0846,414.8,Travis_TX.csv,69.7,24,999.9,0.05,G
2020-03-26,Travis,Texas,137,0,99999923907,2020-03-19,30.6222,-98.0846,414.8,Travis_TX.csv,71.1,24,999.9,0.0,G
