Station ID,Date,Latitude,Longitude,Elevation,SanBernardino_CA.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99999923122,2020-01-01,34.09528,-117.23472,353.3,SanBernardino_CA.csv,53.4,16,2.5,0.0,I
99999923122,2020-01-02,34.09528,-117.23472,353.3,SanBernardino_CA.csv,53.6,21,1.2,0.0,I
99999923122,2020-01-03,34.09528,-117.23472,353.3,SanBernardino_CA.csv,55.6,23,1.4,0.0,I
99999923122,2020-01-04,34.09528,-117.23472,353.3,SanBernardino_CA.csv,53.1,20,1.2,0.0,I
99999923122,2020-01-05,34.09528,-117.23472,353.3,SanBernardino_CA.csv,53.8,23,1.1,0.0,I
99999923122,2020-01-06,34.09528,-117.23472,353.3,SanBernardino_CA.csv,56.5,21,4.2,0.0,I
99999923122,2020-01-07,34.09528,-117.23472,353.3,SanBernardino_CA.csv,54.8,22,1.8,0.0,I
99999923122,2020-01-08,34.09528,-117.23472,353.3,SanBernardino_CA.csv,53.4,21,1.8,0.0,I
99999923122,2020-01-09,34.09528,-117.23472,353.3,SanBernardino_CA.csv,52.9,20,1.5,99.99, 
99999923122,2020-01-10,34.09528,-117.23472,353.3,SanBernardino_CA.csv,50.9,23,2.4,0.0,I
99999923122,2020-01-11,34.09528,-117.23472,353.3,SanBernardino_CA.csv,49.4,24,1.4,0.0,I
99999923122,2020-01-12,34.09528,-117.23472,353.3,SanBernardino_CA.csv,50.3,23,1.5,0.0,I
99999923122,2020-01-13,34.09528,-117.23472,353.3,SanBernardino_CA.csv,51.8,22,0.7,0.0,I
99999923122,2020-01-14,34.09528,-117.23472,353.3,SanBernardino_CA.csv,49.3,23,1.5,0.0,I
99999923122,2020-01-15,34.09528,-117.23472,353.3,SanBernardino_CA.csv,50.5,22,1.5,0.0,I
99999923122,2020-01-16,34.09528,-117.23472,353.3,SanBernardino_CA.csv,49.6,22,1.3,0.0,I
99999923122,2020-01-17,34.09528,-117.23472,353.3,SanBernardino_CA.csv,53.2,23,2.2,99.99, 
99999923122,2020-01-18,34.09528,-117.23472,353.3,SanBernardino_CA.csv,50.9,21,1.8,0.0,I
99999923122,2020-01-19,34.09528,-117.23472,353.3,SanBernardino_CA.csv,54.8,24,2.2,0.0,I
99999923122,2020-01-20,34.09528,-117.23472,353.3,SanBernardino_CA.csv,58.4,23,3.3,0.0,I
99999923122,2020-01-21,34.09528,-117.23472,353.3,SanBernardino_CA.csv,55.8,22,1.2,99.99, 
99999923122,2020-01-22,34.09528,-117.23472,353.3,SanBernardino_CA.csv,55.5,22,1.7,0.0,I
99999923122,2020-01-23,34.09528,-117.23472,353.3,SanBernardino_CA.csv,58.2,22,1.0,0.0,I
99999923122,2020-01-24,34.09528,-117.23472,353.3,SanBernardino_CA.csv,58.9,21,2.2,0.0,I
99999923122,2020-01-25,34.09528,-117.23472,353.3,SanBernardino_CA.csv,59.2,24,0.6,0.0,I
99999923122,2020-01-26,34.09528,-117.23472,353.3,SanBernardino_CA.csv,55.3,24,1.4,0.0,I
99999923122,2020-01-27,34.09528,-117.23472,353.3,SanBernardino_CA.csv,57.3,23,1.8,0.0,I
99999923122,2020-01-28,34.09528,-117.23472,353.3,SanBernardino_CA.csv,58.6,23,1.8,0.0,I
99999923122,2020-01-29,34.09528,-117.23472,353.3,SanBernardino_CA.csv,59.8,23,7.5,0.0,I
99999923122,2020-01-30,34.09528,-117.23472,353.3,SanBernardino_CA.csv,58.8,18,4.6,0.0,I
99999923122,2020-01-31,34.09528,-117.23472,353.3,SanBernardino_CA.csv,60.9,20,3.4,0.0,I
99999923122,2020-02-01,34.09528,-117.23472,353.3,SanBernardino_CA.csv,63.3,13,2.7,0.0,I
