Station ID,Date,Latitude,Longitude,Elevation,Fairfax_VA.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99778299999,2020-01-01,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,48.0,20,10.7,0.0,I
99778299999,2020-01-02,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,48.1,19,9.2,0.0,I
99778299999,2020-01-03,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,50.4,22,8.3,0.0,I
99778299999,2020-01-04,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,55.2,22,6.7,0.0,I
99778299999,2020-01-05,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,47.1,24,15.1,0.0,I
99778299999,2020-01-06,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,45.8,24,7.3,0.0,I
99778299999,2020-01-07,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,46.7,24,6.9,0.0,I
99778299999,2020-01-08,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,43.6,23,16.6,0.0,I
99778299999,2020-01-09,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,39.9,22,3.9,0.0,I
99778299999,2020-01-10,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,50.2,23,7.3,0.0,I
99778299999,2020-01-11,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,58.5,17,8.5,0.0,I
99778299999,2020-01-12,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,64.1,23,14.2,0.0,I
99778299999,2020-01-13,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,59.9,19,3.6,0.0,I
99778299999,2020-01-14,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,52.6,21,3.4,0.0,I
99778299999,2020-01-15,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,51.2,22,3.6,0.0,I
99778299999,2020-01-16,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,55.2,24,9.8,0.0,I
99778299999,2020-01-17,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,40.3,22,11.4,0.0,I
99778299999,2020-01-18,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,38.1,21,6.1,0.0,I
99778299999,2020-01-19,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,49.4,24,9.6,0.0,I
99778299999,2020-01-20,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,33.6,24,2.6,0.0,I
99778299999,2020-01-21,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,32.4,23,2.7,0.0,I
99778299999,2020-01-22,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,34.9,23,2.5,0.0,I
99778299999,2020-01-23,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,38.6,23,2.6,0.0,I
99778299999,2020-01-24,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,44.7,24,6.0,0.0,I
99778299999,2020-01-25,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,52.3,24,9.7,0.0,I
99778299999,2020-01-26,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,44.9,23,6.8,0.0,I
99778299999,2020-01-27,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,43.9,24,8.4,0.0,I
99778299999,2020-01-28,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,44.8,22,8.3,0.0,I
99778299999,2020-01-29,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,42.3,23,6.4,0.0,I
99778299999,2020-01-30,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,40.3,24,3.5,0.0,I
99778299999,2020-01-31,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,42.1,22,4.8,0.0,I
99778299999,2020-02-01,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,43.7,24,2.9,0.0,I
99778299999,2020-02-02,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,45.3,23,11.2,0.0,I
99778299999,2020-02-03,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,54.6,24,10.6,0.0,I
99778299999,2020-02-04,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,56.8,22,7.5,0.0,I
99778299999,2020-02-05,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,54.7,19,8.8,0.0,I
99778299999,2020-02-06,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,51.3,23,7.5,0.0,I
99778299999,2020-02-07,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,55.7,22,17.5,0.0,I
99778299999,2020-02-08,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,40.4,22,10.2,0.0,I
99778299999,2020-02-09,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,41.9,23,7.4,0.0,I
99778299999,2020-02-10,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,47.9,24,10.2,0.0,I
99778299999,2020-02-11,36.9666666,-76.4166666,2.0,Fairfax_VA.csv,58.2,24,9.6,0.0,I
