Station ID,Date,Latitude,Longitude,Elevation,Milwaukee_WI.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99734299999,2020-01-01,43.05,-87.88,188.0,Milwaukee_WI.csv,31.0,10,9.3,0.0,I
99734299999,2020-01-02,43.05,-87.88,188.0,Milwaukee_WI.csv,42.0,24,10.2,0.0,I
99734299999,2020-01-03,43.05,-87.88,188.0,Milwaukee_WI.csv,36.7,24,5.2,0.0,I
99734299999,2020-01-04,43.05,-87.88,188.0,Milwaukee_WI.csv,32.7,15,7.8,0.0,I
99734299999,2020-01-05,43.05,-87.88,188.0,Milwaukee_WI.csv,35.0,7,10.3,0.0,I
99734299999,2020-01-06,43.05,-87.88,188.0,Milwaukee_WI.csv,38.0,10,9.1,0.0,I
99734299999,2020-01-07,43.05,-87.88,188.0,Milwaukee_WI.csv,34.5,13,7.1,0.0,I
99734299999,2020-01-08,43.05,-87.88,188.0,Milwaukee_WI.csv,20.1,19,9.5,0.0,I
99734299999,2020-01-09,43.05,-87.88,188.0,Milwaukee_WI.csv,32.3,24,15.4,0.0,I
99734299999,2020-01-10,43.05,-87.88,188.0,Milwaukee_WI.csv,42.4,23,8.7,0.0,I
99734299999,2020-01-11,43.05,-87.88,188.0,Milwaukee_WI.csv,33.5,14,23.2,0.0,I
99734299999,2020-01-12,43.05,-87.88,188.0,Milwaukee_WI.csv,25.2,5,4.4,0.0,I
99734299999,2020-01-13,43.05,-87.88,188.0,Milwaukee_WI.csv,31.1,5,6.4,0.0,I
99734299999,2020-01-14,43.05,-87.88,188.0,Milwaukee_WI.csv,35.3,4,8.8,0.0,I
99734299999,2020-01-16,43.05,-87.88,188.0,Milwaukee_WI.csv,14.4,10,11.5,0.0,I
99734299999,2020-01-17,43.05,-87.88,188.0,Milwaukee_WI.csv,17.6,24,8.7,0.0,I
99734299999,2020-01-18,43.05,-87.88,188.0,Milwaukee_WI.csv,31.7,8,15.2,0.0,I
99734299999,2020-01-19,43.05,-87.88,188.0,Milwaukee_WI.csv,17.9,10,11.2,0.0,I
99734299999,2020-01-20,43.05,-87.88,188.0,Milwaukee_WI.csv,21.3,24,7.5,0.0,I
99734299999,2020-01-21,43.05,-87.88,188.0,Milwaukee_WI.csv,19.9,24,6.5,0.0,I
99734299999,2020-01-22,43.05,-87.88,188.0,Milwaukee_WI.csv,27.0,24,9.7,0.0,I
99734299999,2020-01-23,43.05,-87.88,188.0,Milwaukee_WI.csv,31.5,19,6.6,0.0,I
99734299999,2020-01-24,43.05,-87.88,188.0,Milwaukee_WI.csv,35.7,4,5.8,0.0,I
99734299999,2020-01-26,43.05,-87.88,188.0,Milwaukee_WI.csv,34.0,8,8.3,0.0,I
99734299999,2020-01-27,43.05,-87.88,188.0,Milwaukee_WI.csv,32.9,4,5.3,0.0,I
99734299999,2020-01-29,43.05,-87.88,188.0,Milwaukee_WI.csv,29.0,4,6.3,0.0,I
99734299999,2020-01-30,43.05,-87.88,188.0,Milwaukee_WI.csv,31.2,5,2.0,0.0,I
99734299999,2020-01-31,43.05,-87.88,188.0,Milwaukee_WI.csv,33.7,5,5.2,0.0,I
99734299999,2020-02-01,43.05,-87.88,188.0,Milwaukee_WI.csv,36.2,8,10.9,0.0,I
99734299999,2020-02-02,43.05,-87.88,188.0,Milwaukee_WI.csv,48.0,11,12.2,0.0,I
99734299999,2020-02-03,43.05,-87.88,188.0,Milwaukee_WI.csv,38.3,24,7.2,0.0,I
99734299999,2020-02-04,43.05,-87.88,188.0,Milwaukee_WI.csv,32.8,23,19.0,0.0,I
99734299999,2020-02-05,43.05,-87.88,188.0,Milwaukee_WI.csv,26.4,24,9.4,0.0,I
99734299999,2020-02-06,43.05,-87.88,188.0,Milwaukee_WI.csv,28.4,8,7.4,0.0,I
99734299999,2020-02-07,43.05,-87.88,188.0,Milwaukee_WI.csv,31.8,13,6.9,0.0,I
99734299999,2020-02-08,43.05,-87.88,188.0,Milwaukee_WI.csv,29.5,23,6.8,0.0,I
99734299999,2020-02-09,43.05,-87.88,188.0,Milwaukee_WI.csv,27.9,17,8.4,0.0,I
99734299999,2020-02-11,43.05,-87.88,188.0,Milwaukee_WI.csv,26.5,11,8.3,0.0,I
99734299999,2020-02-12,43.05,-87.88,188.0,Milwaukee_WI.csv,31.2,12,9.5,0.0,I
99734299999,2020-02-13,43.05,-87.88,188.0,Milwaukee_WI.csv,20.6,20,13.3,0.0,I
99734299999,2020-02-14,43.05,-87.88,188.0,Milwaukee_WI.csv,7.7,14,7.7,0.0,I
99734299999,2020-02-15,43.05,-87.88,188.0,Milwaukee_WI.csv,19.1,16,11.2,0.0,I
99734299999,2020-02-16,43.05,-87.88,188.0,Milwaukee_WI.csv,28.8,11,5.7,0.0,I
99734299999,2020-02-17,43.05,-87.88,188.0,Milwaukee_WI.csv,32.3,24,9.7,0.0,I
99734299999,2020-02-18,43.05,-87.88,188.0,Milwaukee_WI.csv,32.0,11,13.3,0.0,I
99734299999,2020-02-19,43.05,-87.88,188.0,Milwaukee_WI.csv,20.0,24,9.1,0.0,I
99734299999,2020-02-20,43.05,-87.88,188.0,Milwaukee_WI.csv,12.9,24,7.9,0.0,I
99734299999,2020-02-21,43.05,-87.88,188.0,Milwaukee_WI.csv,19.3,22,10.2,0.0,I
99734299999,2020-02-22,43.05,-87.88,188.0,Milwaukee_WI.csv,34.6,23,11.7,0.0,I
99734299999,2020-02-23,43.05,-87.88,188.0,Milwaukee_WI.csv,41.2,24,8.5,0.0,I
99734299999,2020-02-24,43.05,-87.88,188.0,Milwaukee_WI.csv,37.4,24,7.9,0.0,I
99734299999,2020-02-25,43.05,-87.88,188.0,Milwaukee_WI.csv,34.8,17,21.7,0.0,I
99734299999,2020-02-26,43.05,-87.88,188.0,Milwaukee_WI.csv,27.7,8,17.0,0.0,I
99734299999,2020-02-27,43.05,-87.88,188.0,Milwaukee_WI.csv,24.0,11,11.4,0.0,I
99734299999,2020-02-28,43.05,-87.88,188.0,Milwaukee_WI.csv,21.9,17,9.9,0.0,I
99734299999,2020-02-29,43.05,-87.88,188.0,Milwaukee_WI.csv,25.0,20,8.0,0.0,I
99734299999,2020-03-01,43.05,-87.88,188.0,Milwaukee_WI.csv,40.4,20,9.3,0.0,I
99734299999,2020-03-02,43.05,-87.88,188.0,Milwaukee_WI.csv,42.2,23,7.0,0.0,I
99734299999,2020-03-03,43.05,-87.88,188.0,Milwaukee_WI.csv,35.7,22,7.4,0.0,I
99734299999,2020-03-04,43.05,-87.88,188.0,Milwaukee_WI.csv,39.3,13,8.7,0.0,I
99734299999,2020-03-05,43.05,-87.88,188.0,Milwaukee_WI.csv,39.7,22,10.2,0.0,I
99734299999,2020-03-06,43.05,-87.88,188.0,Milwaukee_WI.csv,34.3,19,15.2,0.0,I
99734299999,2020-03-07,43.05,-87.88,188.0,Milwaukee_WI.csv,35.5,20,8.1,0.0,I
99734299999,2020-03-08,43.05,-87.88,188.0,Milwaukee_WI.csv,49.0,21,11.6,0.0,I
