Station ID,Date,Latitude,Longitude,Elevation,Mercer_NJ.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
72409514792,2020-01-01,40.27679,-74.81594,57.9,Mercer_NJ.csv,37.9,24,8.7,0.0,G
72409514792,2020-01-02,40.27679,-74.81594,57.9,Mercer_NJ.csv,34.1,24,4.2,0.0,G
72409514792,2020-01-03,40.27679,-74.81594,57.9,Mercer_NJ.csv,44.0,24,2.5,0.07,G
72409514792,2020-01-04,40.27679,-74.81594,57.9,Mercer_NJ.csv,47.6,24,1.9,0.18,G
72409514792,2020-01-05,40.27679,-74.81594,57.9,Mercer_NJ.csv,40.1,24,11.6,0.02,G
72409514792,2020-01-06,40.27679,-74.81594,57.9,Mercer_NJ.csv,37.8,24,5.5,0.0,G
72409514792,2020-01-07,40.27679,-74.81594,57.9,Mercer_NJ.csv,37.7,24,4.2,0.0,G
72409514792,2020-01-08,40.27679,-74.81594,57.9,Mercer_NJ.csv,33.5,24,8.1,0.03,G
72409514792,2020-01-09,40.27679,-74.81594,57.9,Mercer_NJ.csv,27.6,24,7.0,0.0,G
72409514792,2020-01-10,40.27679,-74.81594,57.9,Mercer_NJ.csv,36.7,24,4.0,0.0,G
72409514792,2020-01-11,40.27679,-74.81594,57.9,Mercer_NJ.csv,56.8,24,8.2,0.0,G
72409514792,2020-01-12,40.27679,-74.81594,57.9,Mercer_NJ.csv,63.1,24,13.1,0.1,G
72409514792,2020-01-13,40.27679,-74.81594,57.9,Mercer_NJ.csv,42.0,24,4.4,0.04,G
72409514792,2020-01-14,40.27679,-74.81594,57.9,Mercer_NJ.csv,38.5,24,3.2,0.0,G
72409514792,2020-01-15,40.27679,-74.81594,57.9,Mercer_NJ.csv,44.6,24,5.0,0.03,G
72409514792,2020-01-16,40.27679,-74.81594,57.9,Mercer_NJ.csv,43.6,24,8.3,0.07,G
72409514792,2020-01-17,40.27679,-74.81594,57.9,Mercer_NJ.csv,28.8,24,13.2,0.0,A
72409514792,2020-01-18,40.27679,-74.81594,57.9,Mercer_NJ.csv,21.8,24,4.5,0.0,G
72409514792,2020-01-19,40.27679,-74.81594,57.9,Mercer_NJ.csv,36.7,24,9.5,0.12,G
72409514792,2020-01-20,40.27679,-74.81594,57.9,Mercer_NJ.csv,26.2,24,9.8,0.0,G
72409514792,2020-01-21,40.27679,-74.81594,57.9,Mercer_NJ.csv,24.3,24,6.6,0.0,G
72409514792,2020-01-22,40.27679,-74.81594,57.9,Mercer_NJ.csv,26.8,24,2.2,0.0,G
72409514792,2020-01-23,40.27679,-74.81594,57.9,Mercer_NJ.csv,30.4,24,0.7,0.0,G
72409514792,2020-01-24,40.27679,-74.81594,57.9,Mercer_NJ.csv,38.7,24,3.6,0.0,G
72409514792,2020-01-25,40.27679,-74.81594,57.9,Mercer_NJ.csv,42.7,24,10.8,0.0,G
72409514792,2020-01-26,40.27679,-74.81594,57.9,Mercer_NJ.csv,40.2,24,6.0,1.37,G
72409514792,2020-01-27,40.27679,-74.81594,57.9,Mercer_NJ.csv,38.4,24,5.7,0.0,G
72409514792,2020-01-28,40.27679,-74.81594,57.9,Mercer_NJ.csv,37.9,24,7.1,0.0,G
72409514792,2020-01-29,40.27679,-74.81594,57.9,Mercer_NJ.csv,37.0,24,6.5,0.0,G
72409514792,2020-01-30,40.27679,-74.81594,57.9,Mercer_NJ.csv,29.2,24,3.6,0.0,G
72409514792,2020-01-31,40.27679,-74.81594,57.9,Mercer_NJ.csv,34.6,24,2.8,0.0,G
72409514792,2020-02-01,40.27679,-74.81594,57.9,Mercer_NJ.csv,38.9,24,2.2,0.03,G
72409514792,2020-02-02,40.27679,-74.81594,57.9,Mercer_NJ.csv,37.4,24,4.7,0.05,G
72409514792,2020-02-03,40.27679,-74.81594,57.9,Mercer_NJ.csv,42.5,24,4.9,0.07,G
72409514792,2020-02-04,40.27679,-74.81594,57.9,Mercer_NJ.csv,48.0,24,3.2,0.01,G
72409514792,2020-02-05,40.27679,-74.81594,57.9,Mercer_NJ.csv,43.9,24,5.4,0.04,G
72409514792,2020-02-06,40.27679,-74.81594,57.9,Mercer_NJ.csv,38.7,24,4.9,0.52,G
72409514792,2020-02-07,40.27679,-74.81594,57.9,Mercer_NJ.csv,42.7,24,9.9,0.23,G
72409514792,2020-02-08,40.27679,-74.81594,57.9,Mercer_NJ.csv,34.5,24,7.7,0.12,G
72409514792,2020-02-09,40.27679,-74.81594,57.9,Mercer_NJ.csv,35.4,24,2.5,0.0,G
72409514792,2020-02-10,40.27679,-74.81594,57.9,Mercer_NJ.csv,41.8,24,7.3,0.04,G
72409514792,2020-02-11,40.27679,-74.81594,57.9,Mercer_NJ.csv,44.7,24,2.3,0.54,G
