Station ID,Date,Latitude,Longitude,Elevation,PalmBeach_FL.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99405099999,2020-01-01,26.61,-80.03,0.0,PalmBeach_FL.csv,66.3,23,6.9,0.0,I
99405099999,2020-01-02,26.61,-80.03,0.0,PalmBeach_FL.csv,73.5,24,8.4,0.0,I
99405099999,2020-01-03,26.61,-80.03,0.0,PalmBeach_FL.csv,76.5,24,16.2,0.0,I
99405099999,2020-01-04,26.61,-80.03,0.0,PalmBeach_FL.csv,78.2,23,13.3,0.0,I
99405099999,2020-01-05,26.61,-80.03,0.0,PalmBeach_FL.csv,62.8,24,14.8,0.0,I
99405099999,2020-01-06,26.61,-80.03,0.0,PalmBeach_FL.csv,60.1,24,10.9,0.0,I
99405099999,2020-01-07,26.61,-80.03,0.0,PalmBeach_FL.csv,67.0,24,6.8,0.0,I
99405099999,2020-01-08,26.61,-80.03,0.0,PalmBeach_FL.csv,65.5,24,10.1,0.0,I
99405099999,2020-01-09,26.61,-80.03,0.0,PalmBeach_FL.csv,72.3,24,20.4,0.0,I
99405099999,2020-01-10,26.61,-80.03,0.0,PalmBeach_FL.csv,74.1,24,22.0,0.0,I
99405099999,2020-01-11,26.61,-80.03,0.0,PalmBeach_FL.csv,76.4,21,20.5,0.0,I
99405099999,2020-01-12,26.61,-80.03,0.0,PalmBeach_FL.csv,77.0,23,16.6,0.0,I
99405099999,2020-01-13,26.61,-80.03,0.0,PalmBeach_FL.csv,76.4,20,14.5,0.0,I
99405099999,2020-01-14,26.61,-80.03,0.0,PalmBeach_FL.csv,76.1,24,12.9,0.0,I
99405099999,2020-01-15,26.61,-80.03,0.0,PalmBeach_FL.csv,75.7,24,8.2,0.0,I
99405099999,2020-01-16,26.61,-80.03,0.0,PalmBeach_FL.csv,74.9,21,3.0,0.0,I
99405099999,2020-01-19,26.61,-80.03,0.0,PalmBeach_FL.csv,74.1,20,8.8,0.0,I
99405099999,2020-01-20,26.61,-80.03,0.0,PalmBeach_FL.csv,69.3,24,4.8,0.0,I
99405099999,2020-01-21,26.61,-80.03,0.0,PalmBeach_FL.csv,57.9,19,7.2,0.0,I
99405099999,2020-01-26,26.61,-80.03,0.0,PalmBeach_FL.csv,62.7,24,3.8,0.0,I
99405099999,2020-01-27,26.61,-80.03,0.0,PalmBeach_FL.csv,66.7,24,4.3,0.0,I
99405099999,2020-01-28,26.61,-80.03,0.0,PalmBeach_FL.csv,67.9,24,4.7,0.0,I
99405099999,2020-01-29,26.61,-80.03,0.0,PalmBeach_FL.csv,71.5,24,5.3,0.0,I
99405099999,2020-01-30,26.61,-80.03,0.0,PalmBeach_FL.csv,68.5,24,3.7,0.0,I
99405099999,2020-01-31,26.61,-80.03,0.0,PalmBeach_FL.csv,72.8,24,5.7,0.0,I
99405099999,2020-02-01,26.61,-80.03,0.0,PalmBeach_FL.csv,70.7,24,4.2,0.0,I
99405099999,2020-02-02,26.61,-80.03,0.0,PalmBeach_FL.csv,60.3,24,7.2,0.0,I
99405099999,2020-02-03,26.61,-80.03,0.0,PalmBeach_FL.csv,59.8,24,2.5,0.0,I
99405099999,2020-02-04,26.61,-80.03,0.0,PalmBeach_FL.csv,68.2,23,3.5,0.0,I
99405099999,2020-02-05,26.61,-80.03,0.0,PalmBeach_FL.csv,73.8,24,5.1,0.0,I
99405099999,2020-02-06,26.61,-80.03,0.0,PalmBeach_FL.csv,76.4,24,7.9,0.0,I
99405099999,2020-02-07,26.61,-80.03,0.0,PalmBeach_FL.csv,71.5,24,7.1,0.0,I
99405099999,2020-02-08,26.61,-80.03,0.0,PalmBeach_FL.csv,64.9,24,5.7,0.0,I
99405099999,2020-02-09,26.61,-80.03,0.0,PalmBeach_FL.csv,72.6,24,8.8,0.0,I
99405099999,2020-02-10,26.61,-80.03,0.0,PalmBeach_FL.csv,74.0,24,8.8,0.0,I
99405099999,2020-02-11,26.61,-80.03,0.0,PalmBeach_FL.csv,76.4,24,9.0,0.0,I
99405099999,2020-02-12,26.61,-80.03,0.0,PalmBeach_FL.csv,76.9,24,7.0,0.0,I
99405099999,2020-02-13,26.61,-80.03,0.0,PalmBeach_FL.csv,77.2,24,8.0,0.0,I
99405099999,2020-02-14,26.61,-80.03,0.0,PalmBeach_FL.csv,76.6,24,2.7,0.0,I
99405099999,2020-02-15,26.61,-80.03,0.0,PalmBeach_FL.csv,72.5,24,10.6,0.0,I
99405099999,2020-02-16,26.61,-80.03,0.0,PalmBeach_FL.csv,74.6,24,11.2,0.0,I
99405099999,2020-02-17,26.61,-80.03,0.0,PalmBeach_FL.csv,75.5,24,4.8,0.0,I
99405099999,2020-02-18,26.61,-80.03,0.0,PalmBeach_FL.csv,77.7,24,5.5,0.0,I
99405099999,2020-02-19,26.61,-80.03,0.0,PalmBeach_FL.csv,77.9,24,6.3,0.0,I
99405099999,2020-02-20,26.61,-80.03,0.0,PalmBeach_FL.csv,77.7,24,5.4,0.0,I
99405099999,2020-02-21,26.61,-80.03,0.0,PalmBeach_FL.csv,70.6,24,12.2,0.0,I
99405099999,2020-02-22,26.61,-80.03,0.0,PalmBeach_FL.csv,66.4,24,21.0,0.0,I
99405099999,2020-02-23,26.61,-80.03,0.0,PalmBeach_FL.csv,70.5,24,14.4,0.0,I
99405099999,2020-02-24,26.61,-80.03,0.0,PalmBeach_FL.csv,72.4,24,13.7,0.0,I
99405099999,2020-02-25,26.61,-80.03,0.0,PalmBeach_FL.csv,75.7,24,16.1,0.0,I
99405099999,2020-02-26,26.61,-80.03,0.0,PalmBeach_FL.csv,77.0,24,12.6,0.0,I
99405099999,2020-02-27,26.61,-80.03,0.0,PalmBeach_FL.csv,66.1,24,10.3,0.0,I
99405099999,2020-02-28,26.61,-80.03,0.0,PalmBeach_FL.csv,57.1,24,9.1,0.0,I
99405099999,2020-02-29,26.61,-80.03,0.0,PalmBeach_FL.csv,59.6,24,8.7,0.0,I
99405099999,2020-03-01,26.61,-80.03,0.0,PalmBeach_FL.csv,61.7,24,9.6,0.0,I
99405099999,2020-03-02,26.61,-80.03,0.0,PalmBeach_FL.csv,71.2,24,14.5,0.0,I
99405099999,2020-03-03,26.61,-80.03,0.0,PalmBeach_FL.csv,74.5,24,16.5,0.0,I
99405099999,2020-03-04,26.61,-80.03,0.0,PalmBeach_FL.csv,75.1,24,11.7,0.0,I
99405099999,2020-03-05,26.61,-80.03,0.0,PalmBeach_FL.csv,77.8,24,15.7,0.0,I
99405099999,2020-03-06,26.61,-80.03,0.0,PalmBeach_FL.csv,76.2,24,10.1,0.0,I
99405099999,2020-03-07,26.61,-80.03,0.0,PalmBeach_FL.csv,65.7,24,16.2,0.0,I
99405099999,2020-03-08,26.61,-80.03,0.0,PalmBeach_FL.csv,68.4,24,21.4,0.0,I
99405099999,2020-03-09,26.61,-80.03,0.0,PalmBeach_FL.csv,70.8,24,22.1,0.0,I
99405099999,2020-03-10,26.61,-80.03,0.0,PalmBeach_FL.csv,72.2,23,17.6,0.0,I
99405099999,2020-03-11,26.61,-80.03,0.0,PalmBeach_FL.csv,74.0,19,12.7,0.0,I
99405099999,2020-03-12,26.61,-80.03,0.0,PalmBeach_FL.csv,74.3,22,6.2,0.0,I
99405099999,2020-03-13,26.61,-80.03,0.0,PalmBeach_FL.csv,75.0,18,9.2,0.0,I
99405099999,2020-03-14,26.61,-80.03,0.0,PalmBeach_FL.csv,76.8,13,9.7,0.0,I
99405099999,2020-03-15,26.61,-80.03,0.0,PalmBeach_FL.csv,76.3,23,8.8,0.0,I
99405099999,2020-03-16,26.61,-80.03,0.0,PalmBeach_FL.csv,75.6,24,9.1,0.0,I
99405099999,2020-03-17,26.61,-80.03,0.0,PalmBeach_FL.csv,75.9,23,10.8,0.0,I
99405099999,2020-03-18,26.61,-80.03,0.0,PalmBeach_FL.csv,75.6,23,10.3,0.0,I
99405099999,2020-03-19,26.61,-80.03,0.0,PalmBeach_FL.csv,76.0,22,13.1,0.0,I
99405099999,2020-03-20,26.61,-80.03,0.0,PalmBeach_FL.csv,76.2,23,13.5,0.0,I
99405099999,2020-03-21,26.61,-80.03,0.0,PalmBeach_FL.csv,76.3,24,10.0,0.0,I
99405099999,2020-03-22,26.61,-80.03,0.0,PalmBeach_FL.csv,76.1,23,8.2,0.0,I
99405099999,2020-03-23,26.61,-80.03,0.0,PalmBeach_FL.csv,75.9,24,9.9,0.0,I
99405099999,2020-03-24,26.61,-80.03,0.0,PalmBeach_FL.csv,75.8,24,9.6,0.0,I
99405099999,2020-03-25,26.61,-80.03,0.0,PalmBeach_FL.csv,76.5,24,8.3,0.0,I
99405099999,2020-03-26,26.61,-80.03,0.0,PalmBeach_FL.csv,75.5,23,8.6,0.0,I
99405099999,2020-03-27,26.61,-80.03,0.0,PalmBeach_FL.csv,76.6,23,6.3,0.0,I
99405099999,2020-03-28,26.61,-80.03,0.0,PalmBeach_FL.csv,75.9,24,9.5,0.0,I
99405099999,2020-03-29,26.61,-80.03,0.0,PalmBeach_FL.csv,77.1,23,10.5,0.0,I
99405099999,2020-03-30,26.61,-80.03,0.0,PalmBeach_FL.csv,77.0,24,8.8,0.0,I
99405099999,2020-03-31,26.61,-80.03,0.0,PalmBeach_FL.csv,79.1,22,9.0,0.0,I
99405099999,2020-04-01,26.61,-80.03,0.0,PalmBeach_FL.csv,75.1,24,10.9,0.0,I
99405099999,2020-04-02,26.61,-80.03,0.0,PalmBeach_FL.csv,71.3,18,10.5,0.0,I
99405099999,2020-04-03,26.61,-80.03,0.0,PalmBeach_FL.csv,72.5,24,6.3,0.0,I
99405099999,2020-04-04,26.61,-80.03,0.0,PalmBeach_FL.csv,74.8,24,6.3,0.0,I
99405099999,2020-04-05,26.61,-80.03,0.0,PalmBeach_FL.csv,76.3,24,6.1,0.0,I
99405099999,2020-04-06,26.61,-80.03,0.0,PalmBeach_FL.csv,73.6,23,15.4,0.0,I
99405099999,2020-04-07,26.61,-80.03,0.0,PalmBeach_FL.csv,76.2,24,11.0,0.0,I
99405099999,2020-04-08,26.61,-80.03,0.0,PalmBeach_FL.csv,78.6,24,8.2,0.0,I
99405099999,2020-04-09,26.61,-80.03,0.0,PalmBeach_FL.csv,79.8,24,9.0,0.0,I
99405099999,2020-04-10,26.61,-80.03,0.0,PalmBeach_FL.csv,79.3,23,9.8,0.0,I
99405099999,2020-04-11,26.61,-80.03,0.0,PalmBeach_FL.csv,76.5,23,11.8,0.0,I
99405099999,2020-04-12,26.61,-80.03,0.0,PalmBeach_FL.csv,78.8,23,16.1,0.0,I
99405099999,2020-04-13,26.61,-80.03,0.0,PalmBeach_FL.csv,79.8,24,19.0,0.0,I
99405099999,2020-04-14,26.61,-80.03,0.0,PalmBeach_FL.csv,79.8,24,11.4,0.0,I
99405099999,2020-04-15,26.61,-80.03,0.0,PalmBeach_FL.csv,80.0,24,12.7,0.0,I
99405099999,2020-04-16,26.61,-80.03,0.0,PalmBeach_FL.csv,79.5,23,9.4,0.0,I
99405099999,2020-04-17,26.61,-80.03,0.0,PalmBeach_FL.csv,77.5,24,15.8,0.0,I
99405099999,2020-04-18,26.61,-80.03,0.0,PalmBeach_FL.csv,78.9,23,8.3,0.0,I
99405099999,2020-04-19,26.61,-80.03,0.0,PalmBeach_FL.csv,78.9,24,7.8,0.0,I
99405099999,2020-04-20,26.61,-80.03,0.0,PalmBeach_FL.csv,83.7,23,14.6,0.0,I
99405099999,2020-04-21,26.61,-80.03,0.0,PalmBeach_FL.csv,80.1,24,7.1,0.0,I
99405099999,2020-04-22,26.61,-80.03,0.0,PalmBeach_FL.csv,76.4,24,8.6,0.0,I
99405099999,2020-04-23,26.61,-80.03,0.0,PalmBeach_FL.csv,80.0,22,15.5,0.0,I
99405099999,2020-04-24,26.61,-80.03,0.0,PalmBeach_FL.csv,81.9,23,16.0,0.0,I
99405099999,2020-04-25,26.61,-80.03,0.0,PalmBeach_FL.csv,78.7,24,11.4,0.0,I
99405099999,2020-04-26,26.61,-80.03,0.0,PalmBeach_FL.csv,78.0,23,7.0,0.0,I
99405099999,2020-04-27,26.61,-80.03,0.0,PalmBeach_FL.csv,72.7,24,10.3,0.0,I
99405099999,2020-04-28,26.61,-80.03,0.0,PalmBeach_FL.csv,75.1,24,12.5,0.0,I
99405099999,2020-04-29,26.61,-80.03,0.0,PalmBeach_FL.csv,77.5,24,14.0,0.0,I
