Station ID,Date,Latitude,Longitude,Elevation,PrinceWilliam_VA.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99770899999,2020-01-01,37.25,-76.33,10.0,PrinceWilliam_VA.csv,47.7,24,9.2,0.0,I
99770899999,2020-01-02,37.25,-76.33,10.0,PrinceWilliam_VA.csv,48.2,24,10.8,0.0,I
99770899999,2020-01-03,37.25,-76.33,10.0,PrinceWilliam_VA.csv,50.8,24,13.3,0.0,I
99770899999,2020-01-04,37.25,-76.33,10.0,PrinceWilliam_VA.csv,55.3,24,9.6,0.0,I
99770899999,2020-01-05,37.25,-76.33,10.0,PrinceWilliam_VA.csv,46.5,24,17.3,0.0,I
99770899999,2020-01-06,37.25,-76.33,10.0,PrinceWilliam_VA.csv,47.1,24,10.0,0.0,I
99770899999,2020-01-07,37.25,-76.33,10.0,PrinceWilliam_VA.csv,46.6,24,8.7,0.0,I
99770899999,2020-01-08,37.25,-76.33,10.0,PrinceWilliam_VA.csv,43.4,24,17.8,0.0,I
99770899999,2020-01-09,37.25,-76.33,10.0,PrinceWilliam_VA.csv,39.1,24,9.9,0.0,I
99770899999,2020-01-10,37.25,-76.33,10.0,PrinceWilliam_VA.csv,49.7,24,10.7,0.0,I
99770899999,2020-01-11,37.25,-76.33,10.0,PrinceWilliam_VA.csv,56.5,21,15.6,0.0,I
99770899999,2020-01-12,37.25,-76.33,10.0,PrinceWilliam_VA.csv,63.4,23,18.7,0.0,I
99770899999,2020-01-13,37.25,-76.33,10.0,PrinceWilliam_VA.csv,53.1,19,7.4,0.0,I
99770899999,2020-01-14,37.25,-76.33,10.0,PrinceWilliam_VA.csv,49.7,24,6.9,0.0,I
99770899999,2020-01-15,37.25,-76.33,10.0,PrinceWilliam_VA.csv,48.0,24,5.2,0.0,I
99770899999,2020-01-16,37.25,-76.33,10.0,PrinceWilliam_VA.csv,54.1,24,12.8,0.0,I
99770899999,2020-01-17,37.25,-76.33,10.0,PrinceWilliam_VA.csv,39.4,24,18.9,0.0,I
99770899999,2020-01-18,37.25,-76.33,10.0,PrinceWilliam_VA.csv,38.1,24,9.0,0.0,I
99770899999,2020-01-19,37.25,-76.33,10.0,PrinceWilliam_VA.csv,48.1,24,15.1,0.0,I
99770899999,2020-01-20,37.25,-76.33,10.0,PrinceWilliam_VA.csv,32.6,24,18.2,0.0,I
99770899999,2020-01-21,37.25,-76.33,10.0,PrinceWilliam_VA.csv,32.2,24,16.6,0.0,I
99770899999,2020-01-22,37.25,-76.33,10.0,PrinceWilliam_VA.csv,34.8,24,12.1,0.0,I
99770899999,2020-01-23,37.25,-76.33,10.0,PrinceWilliam_VA.csv,38.9,24,8.1,0.0,I
99770899999,2020-01-24,37.25,-76.33,10.0,PrinceWilliam_VA.csv,43.4,24,8.1,0.0,I
99770899999,2020-01-25,37.25,-76.33,10.0,PrinceWilliam_VA.csv,50.0,24,13.5,0.0,I
99770899999,2020-01-26,37.25,-76.33,10.0,PrinceWilliam_VA.csv,44.3,24,6.0,0.0,I
99770899999,2020-01-27,37.25,-76.33,10.0,PrinceWilliam_VA.csv,44.1,24,10.0,0.0,I
99770899999,2020-01-28,37.25,-76.33,10.0,PrinceWilliam_VA.csv,44.0,24,11.7,0.0,I
99770899999,2020-01-29,37.25,-76.33,10.0,PrinceWilliam_VA.csv,41.4,24,8.7,0.0,I
99770899999,2020-01-30,37.25,-76.33,10.0,PrinceWilliam_VA.csv,40.5,24,7.7,0.0,I
99770899999,2020-01-31,37.25,-76.33,10.0,PrinceWilliam_VA.csv,41.4,24,8.5,0.0,I
99770899999,2020-02-01,37.25,-76.33,10.0,PrinceWilliam_VA.csv,43.1,24,6.8,0.0,I
99770899999,2020-02-02,37.25,-76.33,10.0,PrinceWilliam_VA.csv,46.1,24,11.4,0.0,I
99770899999,2020-02-03,37.25,-76.33,10.0,PrinceWilliam_VA.csv,54.6,24,12.4,0.0,I
99770899999,2020-02-04,37.25,-76.33,10.0,PrinceWilliam_VA.csv,58.1,23,12.5,0.0,I
99770899999,2020-02-05,37.25,-76.33,10.0,PrinceWilliam_VA.csv,54.2,24,12.5,0.0,I
99770899999,2020-02-06,37.25,-76.33,10.0,PrinceWilliam_VA.csv,46.9,24,8.0,0.0,I
99770899999,2020-02-07,37.25,-76.33,10.0,PrinceWilliam_VA.csv,54.0,24,20.9,0.0,I
99770899999,2020-02-08,37.25,-76.33,10.0,PrinceWilliam_VA.csv,40.8,24,11.8,0.0,I
99770899999,2020-02-09,37.25,-76.33,10.0,PrinceWilliam_VA.csv,41.5,24,7.1,0.0,I
