Station ID,Date,Latitude,Longitude,Elevation,Travis_TX.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99999923907,2020-01-01,30.6222,-98.0846,414.8,Travis_TX.csv,49.3,24,999.9,0.0,G
99999923907,2020-01-02,30.6222,-98.0846,414.8,Travis_TX.csv,52.4,24,999.9,0.0,G
99999923907,2020-01-03,30.6222,-98.0846,414.8,Travis_TX.csv,52.6,24,999.9,0.0,G
99999923907,2020-01-04,30.6222,-98.0846,414.8,Travis_TX.csv,51.9,24,999.9,0.0,G
99999923907,2020-01-05,30.6222,-98.0846,414.8,Travis_TX.csv,58.4,24,999.9,0.0,G
99999923907,2020-01-06,30.6222,-98.0846,414.8,Travis_TX.csv,58.6,24,999.9,0.0,G
99999923907,2020-01-07,30.6222,-98.0846,414.8,Travis_TX.csv,54.2,24,999.9,0.0,G
99999923907,2020-01-08,30.6222,-98.0846,414.8,Travis_TX.csv,52.1,24,999.9,0.0,G
99999923907,2020-01-09,30.6222,-98.0846,414.8,Travis_TX.csv,62.7,24,999.9,0.0,G
99999923907,2020-01-10,30.6222,-98.0846,414.8,Travis_TX.csv,67.3,24,999.9,0.0,G
99999923907,2020-01-11,30.6222,-98.0846,414.8,Travis_TX.csv,50.7,24,999.9,0.93,G
99999923907,2020-01-12,30.6222,-98.0846,414.8,Travis_TX.csv,44.1,24,999.9,0.0,G
99999923907,2020-01-13,30.6222,-98.0846,414.8,Travis_TX.csv,54.0,24,999.9,0.0,G
99999923907,2020-01-14,30.6222,-98.0846,414.8,Travis_TX.csv,61.9,24,999.9,0.01,G
99999923907,2020-01-15,30.6222,-98.0846,414.8,Travis_TX.csv,69.1,24,999.9,0.0,G
99999923907,2020-01-16,30.6222,-98.0846,414.8,Travis_TX.csv,60.6,24,999.9,0.01,G
99999923907,2020-01-17,30.6222,-98.0846,414.8,Travis_TX.csv,48.8,24,999.9,0.2,G
99999923907,2020-01-18,30.6222,-98.0846,414.8,Travis_TX.csv,59.3,24,999.9,0.15,G
99999923907,2020-01-19,30.6222,-98.0846,414.8,Travis_TX.csv,44.9,24,999.9,0.0,G
99999923907,2020-01-20,30.6222,-98.0846,414.8,Travis_TX.csv,45.8,24,999.9,0.0,G
99999923907,2020-01-21,30.6222,-98.0846,414.8,Travis_TX.csv,48.7,24,999.9,0.0,G
99999923907,2020-01-22,30.6222,-98.0846,414.8,Travis_TX.csv,48.2,24,999.9,0.0,G
99999923907,2020-01-23,30.6222,-98.0846,414.8,Travis_TX.csv,53.5,24,999.9,0.52,G
